File,Temp,Logg,Metal,Alpha
lte016.0-3.5-0.0a+0.0.BT-Settl.spec.7,1600,3.5,0,0
lte016.0-4.0-0.0a+0.0.BT-Settl.spec.7,1600,4,0,0
lte016.0-4.5-0.0a+0.0.BT-Settl.spec.7,1600,4.5,0,0
lte016.0-5.0-0.0a+0.0.BT-Settl.spec.7,1600,5,0,0
lte016.0-5.5-0.0a+0.0.BT-Settl.spec.7,1600,5.5,0,0
lte017.0-2.5-0.0a+0.0.BT-Settl.spec.7,1700,2.5,0,0
lte017.0-3.0-0.0a+0.0.BT-Settl.spec.7,1700,3,0,0
lte017.0-3.5-0.0a+0.0.BT-Settl.spec.7,1700,3.5,0,0
lte017.0-4.0-0.0a+0.0.BT-Settl.spec.7,1700,4,0,0
lte017.0-4.5-0.0a+0.0.BT-Settl.spec.7,1700,4.5,0,0
lte017.0-5.0-0.0a+0.0.BT-Settl.spec.7,1700,5,0,0
lte017.0-5.5-0.0a+0.0.BT-Settl.spec.7,1700,5.5,0,0
lte018.0-2.5-0.0a+0.0.BT-Settl.spec.7,1800,2.5,0,0
lte018.0-3.0-0.0a+0.0.BT-Settl.spec.7,1800,3,0,0
lte018.0-3.5-0.0a+0.0.BT-Settl.spec.7,1800,3.5,0,0
lte018.0-4.0-0.0a+0.0.BT-Settl.spec.7,1800,4,0,0
lte018.0-4.5-0.0a+0.0.BT-Settl.spec.7,1800,4.5,0,0
lte018.0-5.0-0.0a+0.0.BT-Settl.spec.7,1800,5,0,0
lte018.0-5.5-0.0a+0.0.BT-Settl.spec.7,1800,5.5,0,0
lte019.0-2.5-0.0a+0.0.BT-Settl.spec.7,1900,2.5,0,0
lte019.0-3.0-0.0a+0.0.BT-Settl.spec.7,1900,3,0,0
lte019.0-3.5-0.0a+0.0.BT-Settl.spec.7,1900,3.5,0,0
lte019.0-4.0-0.0a+0.0.BT-Settl.spec.7,1900,4,0,0
lte019.0-4.5-0.0a+0.0.BT-Settl.spec.7,1900,4.5,0,0
lte019.0-5.0-0.0a+0.0.BT-Settl.spec.7,1900,5,0,0
lte019.0-5.5-0.0a+0.0.BT-Settl.spec.7,1900,5.5,0,0
lte020.0-2.5-0.0a+0.0.BT-Settl.spec.7,2000,2.5,0,0
lte020.0-3.0-0.0a+0.0.BT-Settl.spec.7,2000,3,0,0
lte020.0-3.5-0.0a+0.0.BT-Settl.spec.7,2000,3.5,0,0
lte020.0-4.0-0.0a+0.0.BT-Settl.spec.7,2000,4,0,0
