teff,logg,M_H,en
3000,4.5,-1.0,0.4
3000,4.5,-0.5,0.2
3000,4.5,0.0,0.0
3000,4.5,0.5,0.0
3000,5.0,-2.5,0.4
3000,5.0,-2.0,0.4
3000,5.0,-1.5,0.4
3000,5.0,-1.0,0.4
3000,5.0,-0.5,0.2
3000,5.0,0.0,0.0
3000,5.0,0.0,0.2
3000,5.0,0.5,0.0
3000,5.5,-2.5,0.4
3000,5.5,-2.0,0.4
3000,5.5,-1.5,0.4
3000,5.5,-1.0,0.4
3000,5.5,-0.5,0.2
3000,5.5,0.0,0.0
3000,5.5,0.0,0.2
3000,5.5,0.5,0.0
3000,6.0,-1.0,0.4
3000,6.0,-0.5,0.2
3000,6.0,0.0,0.0
3100,0.0,0.0,0.0
3100,0.5,0.0,0.0
3100,1.0,0.0,0.0
3100,1.5,0.0,0.0
3100,2.0,-1.0,0.4
3100,2.0,0.0,0.0
3100,2.5,-1.0,0.4
3100,2.5,0.0,0.0
3100,3.0,-1.0,0.4
3100,3.0,-0.5,0.2
3100,3.0,0.0,0.0
3100,3.5,-0.5,0.2
3100,3.5,0.0,0.0
3100,4.0,-0.5,0.2
3100,4.0,0.0,0.0
3100,4.5,-2.5,0.4
3100,4.5,-2.0,0.4
3100,4.5,-1.5,0.4
3100,4.5,-1.0,0.4
3100,4.5,-0.5,0.2
3100,4.5,0.0,0.0
3100,4.5,0.5,0.0
3100,5.0,-2.5,0.4
3100,5.0,-2.0,0.4
3100,5.0,-1.5,0.4
3100,5.0,-1.0,0.4
3100,5.0,-0.5,0.2
3100,5.0,0.0,0.0
3100,5.0,0.0,0.2
3100,5.0,0.5,0.0
3100,5.5,-2.5,0.4
3100,5.5,-2.0,0.4
3100,5.5,-1.5,0.4
3100,5.5,-1.0,0.4
3100,5.5,-0.5,0.2
3100,5.5,0.0,0.0
3100,5.5,0.0,0.2
3100,5.5,0.5,0.0
3100,6.0,-1.0,0.4
3100,6.0,-0.5,0.2
3100,6.0,0.0,0.0
3200,0.0,0.0,0.0
3200,0.5,0.0,0.0
3200,0.5,0.0,0.0
3200,1.0,0.0,0.0
3200,1.5,0.0,0.0
3200,2.0,0.0,0.0
3200,2.5,-1.0,0.4
3200,2.5,0.0,0.0
3200,3.0,-1.0,0.4
3200,3.0,-0.5,0.2
3200,3.0,0.0,0.0
3200,3.5,-0.5,0.2
3200,3.5,0.0,0.0
3200,4.0,-0.5,0.2
3200,4.0,0.0,0.0
3200,4.5,-2.5,0.4
3200,4.5,-2.0,0.4
3200,4.5,-1.5,0.4
3200,4.5,-1.0,0.4
3200,4.5,-0.5,0.2
3200,4.5,0.0,0.0
3200,4.5,0.5,0.0
3200,5.0,-2.5,0.4
3200,5.0,-2.0,0.4
3200,5.0,-1.5,0.4
3200,5.0,-1.0,0.4
3200,5.0,-0.5,0.2
3200,5.0,0.0,0.0
3200,5.0,0.0,0.2
3200,5.0,0.5,0.0
3200,5.5,-2.5,0.4
3200,5.5,-2.0,0.4
3200,5.5,-1.5,0.4
3200,5.5,-1.0,0.4
3200,5.5,-0.5,0.2
