teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
350,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
350,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
350,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
350,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
350,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
350,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
350,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
350,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
350,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
350,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
375,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
375,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
375,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
375,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
375,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
375,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
375,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
375,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
375,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
375,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
375,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
375,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
375,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
375,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
375,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
375,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
375,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
375,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
375,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
375,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
375,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
400,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
400,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
400,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
400,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
400,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
400,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
400,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
400,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
