teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
1400,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
1400,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
1500,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
1600,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
1600,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
1600,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
1600,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
1800,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
1800,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
1900,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
1900,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
1900,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
1900,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
1900,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
1900,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
1900,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
1900,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
2000,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
2000,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
2000,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
2000,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
2100,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
2100,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
2100,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
2200,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
2200,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
2200,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
2200,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
2400,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
2400,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
2400,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
